nb crit
1 0.24292779265820341
2 0.45818160849577916
3 0.57891078074223024
4 0.63864568960558921
5 0.67278545758691088
6 0.71141797755130898
7 0.72544118336667007
8 0.73716395628735643
9 0.74330967449066121
10 0.75107952419343671
11 0.75615156099849001
12 0.76297902986751898
13 0.76748689570239059
14 0.7721360285530634
15 0.77705158125127982
16 0.77813505262129312
17 0.78073018891354962
18 0.78372410672171267
19 0.78481230788491707
20 0.78468574563229831
21 0.78578155904863589
22 0.78634343366645132
23 0.78810775890038387
24 0.78851642892633311
25 0.78729848504207334
26 0.78621285224107995
27 0.78569414212153921
28 0.7862253377845192
29 0.78688919739168628
30 0.78690179969108909
